url,cbdc_sentence,title,description,date,author,affiliation,position,country
https://www.bis.org/review/r160303e.pdf,"a ""central bank digital currency"" (cbdc) would involve putting these reserve deposits on a distributed ledger.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"and if a private-sector digital currency uses the technology to substitute for a third-party clearer, the central bank counterpart would do the opposite.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"and, as i tried to explain earlier, a cbdc that sought simply to replicate cash would probably have a greater impact on the demand for banknotes than on commercial bank deposits, with more limited macroeconomic effects.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"as far as its economic effects are concerned, my guess is that much would depend on how exactly a central bank digital currency (cbdc) is designed - and in particular the extent to which it competes with the main form of money in the economy, commercial bank deposits.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"as long as it's possible to hold something with a guaranteed nominal return of zero there's a similar lower bound on all other forms of money, whether reserves at the central bank or a more widely available cbdc.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"barrdear, j and kumhof, m (2016), ""the macroeconomics of central bank-issued digital currency"", bank of england working paper, forthcoming.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"ben broadbent: central banks and digital currencies speech by mr ben broadbent, deputy governor for monetary policy of the bank of england, at the london school of economics, london, 2 march 2016.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"but as you widen that access, and the more closely a cbdc substitutes for existing deposits - i.e.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,central bank digital currency: who can bank at the central bank?,Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
https://www.bis.org/review/r160303e.pdf,"conversely, others see the distributed ledger as an opportunity for the central bank to expand its role, via a ""central bank digital currency"" available 15 if maturity transformation is a necessary feature of a market economy, you'd probably expect to find the private sector creating an alternative supply of liquid assets of its own, to help replace lost deposits.",Ben Broadbent: Central banks and digital currencies,"Speech by Mr Ben Broadbent, Deputy Governor for Monetary Policy of the Bank of England, at the London School of Economics, London, 2 March 2016.",3/2/2016 0:00,Ben Broadbent,Bank of England,Deputy Governor for Monetary Policy,UK
