speech_id,pro_w,wait_w,anti_w,speech_stance_pred,speech_stance_num,date,country,author,affiliation,title,url,quarter,year
000847fdf5487384a59fd5ad16b31063,0.0,0.9077330231666564,0.0,wait,0,2016-06-16 00:00:00,Ireland,Philip R Lane,Central Bank of Ireland,Philip R Lane: Technological innovation and financial services,https://www.bis.org/review/r160622c.htm,2016Q2,2016
0071df02729ff715dd96c536425f0c0d,0.980759859085083,0.0,0.0,pro,1,2024-10-28 00:00:00,Hong Kong,Eddie Yue,Hong Kong Monetary Authority,Eddie Yue: Keynote address - Hong Kong FinTech Week 2024,https://www.bis.org/review/r241028j.htm,2024Q4,2024
01023e936b57453f19e838f79eaa6054,1.9297505021095276,0.0,0.0,pro,1,2021-05-19 00:00:00,Euro Area,Fabio Panetta,European Central Bank,Fabio Panetta: At the edge of tomorrow - preparing the future of European retail payments,http://www.bis.org/review/r210519d.htm,2021Q2,2021
010fe137470b036bb690f73d6c23d478,1.8075719475746155,0.0,0.0,pro,1,2021-05-13 00:00:00,Spain,Pablo Hernández de Cos,Banco de España,Pablo Hernández de Cos: Presentation of Bank of Spain's Annual Report 2020,http://www.bis.org/review/r210517d.htm,2021Q2,2021
02eb30f5018656a2cafc5fbdac334340,15.04894483089447,0.7296856045722961,0.0,pro,1,2023-12-07 00:00:00,Cyprus,Constantinos Herodotou,Central Bank of Cyprus,Constantinos Herodotou: Navigating the technological revolution - the central banker's perspective,https://www.bis.org/review/r231227b.htm,2023Q4,2023
0520c4c11dfb9b9cee1454e18231f70f,0.8181124925613403,3.7377880811691284,1.697936475276947,wait,0,2017-03-03 00:00:00,US,Jerome H Powell,Federal Reserve Board,"Jerome Powell: Innovation, technology, and the payments system",https://www.bis.org/review/r170309b.htm,2017Q1,2017
05bc6bc2894abf1bb4a0744c8763eef0,7.4954792857170105,0.9761365652084352,0.0,pro,1,2023-04-17 00:00:00,UK,Jon Cunliffe,Bank of England,Jon Cunliffe: The shape of things to come - innovation in payments and money,http://www.bis.org/review/r230418f.htm,2023Q2,2023
05c7865ee9d6f645b620df34356fb029,1.6374605894088745,0.0,0.0,pro,1,2021-10-07 00:00:00,Mexico,Alejandro Díaz de León,Bank of Mexico,Alejandro Díaz de León: Introductory remarks on regulating big tech,http://www.bis.org/review/r211012a.htm,2021Q4,2021
05f67598b30d582e435d26bfecfc9217,20.783783078193665,3.651528239250183,0.5647609829902649,pro,1,2024-09-27 00:00:00,Euro Area,Piero Cipollone,European Central Bank,Piero Cipollone: Monetary sovereignty in the digital age - the case for a digital euro,https://www.bis.org/review/r241014e.htm,2024Q3,2024
0698860d547057596f0a3baf5675a2fb,13.088103860616684,31.068232595920563,8.454951405525208,wait,0,2019-07-05 00:00:00,Japan,Masayoshi Amamiya,Bank of Japan,Masayoshi Amamiya: Should the Bank of Japan issue a digital currency?,https://www.bis.org/review/r190712h.htm,2019Q3,2019
